source	output	vertices	edges	vertex_labels	edge_labels
query_dense_16_156.graph	query_dense_16_156.cypher	16	40	0,1,10,12,14,3,4,6,7,8	0
query_dense_16_157.graph	query_dense_16_157.cypher	16	64	1,10,11,13,14,2,3,5,7,9	0
query_dense_16_158.graph	query_dense_16_158.cypher	16	36	0,11,13,3,4,6,7,8	0
query_dense_16_159.graph	query_dense_16_159.cypher	16	44	0,14,2,3,5,6,7,9	0
query_dense_16_16.graph	query_dense_16_16.cypher	16	32	1,11,12,13,14,2,4,6,7,9	0
query_dense_16_160.graph	query_dense_16_160.cypher	16	27	1,10,11,12,3,4,5,6,7,8,9	0
query_dense_16_161.graph	query_dense_16_161.cypher	16	38	0,1,10,11,12,13,14,4,5,6,7,8,9	0
query_dense_16_162.graph	query_dense_16_162.cypher	16	41	0,1,10,11,12,13,7,8,9	0
query_dense_16_163.graph	query_dense_16_163.cypher	16	28	0,1,10,11,14,3,5,7,8,9	0
query_dense_16_164.graph	query_dense_16_164.cypher	16	34	1,10,11,12,13,14,2,6,7,8,9	0
query_dense_16_165.graph	query_dense_16_165.cypher	16	34	0,10,11,12,4,5,6,7,8,9	0
query_dense_16_166.graph	query_dense_16_166.cypher	16	26	0,1,10,12,13,14,4,5,6,8	0
query_dense_16_167.graph	query_dense_16_167.cypher	16	38	11,12,13,14,4,5,6,7,8,9	0
query_dense_16_168.graph	query_dense_16_168.cypher	16	27	0,10,11,12,13,14,3,4,8,9	0
query_dense_16_169.graph	query_dense_16_169.cypher	16	31	1,10,12,13,14,2,3,4,5,6,7	0
query_dense_16_17.graph	query_dense_16_17.cypher	16	34	0,1,11,12,13,14,2,7,8,9	0
query_dense_16_170.graph	query_dense_16_170.cypher	16	71	1,11,13,14,2,3,7,8,9	0
query_dense_16_171.graph	query_dense_16_171.cypher	16	49	0,1,11,12,13,2,4,5,8	0
query_dense_16_172.graph	query_dense_16_172.cypher	16	41	1,13,14,2,3,5,6,7,8	0
query_dense_16_173.graph	query_dense_16_173.cypher	16	31	0,1,11,12,13,14,2,5,8	0
query_dense_16_174.graph	query_dense_16_174.cypher	16	44	1,10,11,12,13,14,2,4,8,9	0
query_dense_16_175.graph	query_dense_16_175.cypher	16	32	1,11,12,13,14,2,6,7,8	0
query_dense_16_176.graph	query_dense_16_176.cypher	16	35	0,11,12,14,3,4,5,6,8,9	0
query_dense_16_177.graph	query_dense_16_177.cypher	16	26	0,10,11,12,13,14,4,5,6,7,8	0
query_dense_16_178.graph	query_dense_16_178.cypher	16	28	0,1,11,13,14,2,3,4,5,9	0
query_dense_16_179.graph	query_dense_16_179.cypher	16	35	0,1,10,11,13,14,2,3,5,7,9	0
query_dense_16_18.graph	query_dense_16_18.cypher	16	27	1,11,12,13,2,3,4,7,8,9	0
query_dense_16_180.graph	query_dense_16_180.cypher	16	96	0,11,12,13,14,2,4,5,7,8,9	0
query_dense_16_181.graph	query_dense_16_181.cypher	16	30	0,1,13,14,2,3,4,5,8	0
query_dense_16_182.graph	query_dense_16_182.cypher	16	63	0,1,10,11,12,14,3,4,9	0
query_dense_16_183.graph	query_dense_16_183.cypher	16	60	0,1,10,12,13,2,3,5,6,7,8,9	0
query_dense_16_184.graph	query_dense_16_184.cypher	16	37	1,12,13,14,3,4,6,7,8,9	0
query_dense_16_185.graph	query_dense_16_185.cypher	16	43	0,1,12,14,3,4,5,6,8,9	0
query_dense_16_186.graph	query_dense_16_186.cypher	16	28	1,13,14,2,3,4,5,6,8,9	0
query_dense_16_187.graph	query_dense_16_187.cypher	16	27	1,10,11,14,3,4,6,7,8,9	0
query_dense_16_188.graph	query_dense_16_188.cypher	16	33	0,10,11,13,2,5,6,8	0
query_dense_16_189.graph	query_dense_16_189.cypher	16	26	1,13,14,2,3,4,5,6,7,8,9	0
query_dense_16_19.graph	query_dense_16_19.cypher	16	28	10,11,12,13,14,3,4,5,6,9	0
query_dense_16_190.graph	query_dense_16_190.cypher	16	52	0,13,14,2,3,4,5,6,8	0
query_dense_16_191.graph	query_dense_16_191.cypher	16	44	0,1,10,11,12,13,2,3,5,6,8,9	0
query_dense_16_192.graph	query_dense_16_192.cypher	16	38	0,1,10,11,12,13,14,3,6,7,9	0
query_dense_16_193.graph	query_dense_16_193.cypher	16	32	0,10,14,2,3,4,5,6,7	0
query_dense_16_194.graph	query_dense_16_194.cypher	16	34	0,1,10,13,4,5,6,7,8,9	0
query_dense_16_195.graph	query_dense_16_195.cypher	16	33	0,1,10,14,2,3,4,5,7,8,9	0
query_dense_16_196.graph	query_dense_16_196.cypher	16	40	0,11,14,3,4,5,6,7,8,9	0
query_dense_16_197.graph	query_dense_16_197.cypher	16	40	0,10,11,13,14,2,3,4,5,6,7	0
query_dense_16_198.graph	query_dense_16_198.cypher	16	39	0,1,11,12,14,2,4,5,7,9	0
query_dense_16_199.graph	query_dense_16_199.cypher	16	28	1,10,12,13,3,4,6,8,9	0
query_dense_16_2.graph	query_dense_16_2.cypher	16	27	0,1,10,13,14,2,3,4,5,6	0
query_dense_16_20.graph	query_dense_16_20.cypher	16	29	0,1,10,11,12,13,2,3,5,8	0
query_dense_16_200.graph	query_dense_16_200.cypher	16	28	0,1,10,11,12,13,14,3,4,5,8,9	0
query_dense_16_21.graph	query_dense_16_21.cypher	16	28	0,1,13,2,3,4,7,8,9	0
query_dense_16_22.graph	query_dense_16_22.cypher	16	31	0,1,10,11,12,3,4,5,7,8,9	0
query_dense_16_23.graph	query_dense_16_23.cypher	16	49	1,11,12,13,14,3,4,5,7,9	0
query_dense_16_24.graph	query_dense_16_24.cypher	16	44	10,11,12,2,3,5,6,7,8,9	0
query_dense_16_25.graph	query_dense_16_25.cypher	16	29	0,1,10,11,13,14,3,4,5,8,9	0
query_dense_16_26.graph	query_dense_16_26.cypher	16	40	0,1,10,12,13,14,2,3,4,6	0
query_dense_16_27.graph	query_dense_16_27.cypher	16	33	10,11,13,14,2,4,5,7,8	0
query_dense_16_28.graph	query_dense_16_28.cypher	16	26	0,10,11,12,14,2,5,6,7,8,9	0
query_dense_16_29.graph	query_dense_16_29.cypher	16	28	0,1,10,12,13,3,5,7,9	0
query_dense_16_3.graph	query_dense_16_3.cypher	16	72	0,1,10,12,13,2,3,5,7,8,9	0
query_dense_16_30.graph	query_dense_16_30.cypher	16	47	0,1,10,13,14,2,3,4,5,7,8,9	0
query_dense_16_31.graph	query_dense_16_31.cypher	16	28	0,10,11,13,3,6,7,8	0
query_dense_16_32.graph	query_dense_16_32.cypher	16	32	1,10,12,13,14,2,3,5,6,7,8	0
query_dense_16_33.graph	query_dense_16_33.cypher	16	31	0,1,11,12,13,14,2,3,7,8,9	0
query_dense_16_34.graph	query_dense_16_34.cypher	16	31	0,10,11,12,13,14,2,3,4,6,8	0
query_dense_16_35.graph	query_dense_16_35.cypher	16	32	1,11,12,13,14,2,3,5,6,8	0
query_dense_16_36.graph	query_dense_16_36.cypher	16	27	0,10,11,14,3,5,6,7,8,9	0
query_dense_16_37.graph	query_dense_16_37.cypher	16	28	10,11,12,13,2,6,7,8	0
query_dense_16_38.graph	query_dense_16_38.cypher	16	27	0,12,13,2,5,7,8,9	0
query_dense_16_39.graph	query_dense_16_39.cypher	16	41	0,1,10,13,14,5,6,9	0
query_dense_16_4.graph	query_dense_16_4.cypher	16	26	0,12,13,14,2,3,4,6,8	0
query_dense_16_40.graph	query_dense_16_40.cypher	16	28	1,10,11,12,13,14,2,5,6,7,8	0
query_dense_16_41.graph	query_dense_16_41.cypher	16	35	0,1,10,12,13,14,2,4,5,6,7	0
query_dense_16_42.graph	query_dense_16_42.cypher	16	31	0,1,11,12,13,14,2,4,5,8,9	0
query_dense_16_43.graph	query_dense_16_43.cypher	16	42	11,13,14,3,5,7,8,9	0
query_dense_16_44.graph	query_dense_16_44.cypher	16	37	0,1,12,14,3,4,5,7,9	0
query_dense_16_45.graph	query_dense_16_45.cypher	16	120	0,10,11,12,13,3,5,7,8,9	0
query_dense_16_46.graph	query_dense_16_46.cypher	16	32	0,1,10,11,2,3,4,5,6,8	0
query_dense_16_47.graph	query_dense_16_47.cypher	16	106	0,10,12,13,14,2,3,6,8,9	0
query_dense_16_48.graph	query_dense_16_48.cypher	16	71	0,10,11,12,13,2,3,4,7	0
query_dense_16_49.graph	query_dense_16_49.cypher	16	26	1,10,11,12,13,14,4,5,6,7,8	0
query_dense_16_5.graph	query_dense_16_5.cypher	16	29	0,1,11,13,14,2,3,6,7,9	0
query_dense_16_50.graph	query_dense_16_50.cypher	16	26	0,10,11,13,14,2,5,7,8,9	0
query_dense_16_51.graph	query_dense_16_51.cypher	16	30	10,11,12,13,14,2,6,7,9	0
query_dense_16_52.graph	query_dense_16_52.cypher	16	28	0,1,10,11,12,14,2,3,5,9	0
query_dense_16_53.graph	query_dense_16_53.cypher	16	33	0,12,13,2,3,4,5,7,9	0
query_dense_16_54.graph	query_dense_16_54.cypher	16	29	0,1,12,2,3,4,5,8,9	0
query_dense_16_55.graph	query_dense_16_55.cypher	16	31	0,1,10,11,13,3,4,5,7	0
query_dense_16_56.graph	query_dense_16_56.cypher	16	46	0,1,10,11,13,14,3,6,8,9	0
query_dense_16_57.graph	query_dense_16_57.cypher	16	36	1,10,14,3,4,5,6,8,9	0
query_dense_16_58.graph	query_dense_16_58.cypher	16	30	0,1,12,2,3,7,9	0
query_dense_16_59.graph	query_dense_16_59.cypher	16	29	1,11,13,14,2,3,4,5,6,8,9	0
query_dense_16_6.graph	query_dense_16_6.cypher	16	31	0,1,10,13,14,2,3,4,5,8,9	0
query_dense_16_60.graph	query_dense_16_60.cypher	16	30	0,1,10,11,2,3,4,5,6,7,8	0
query_dense_16_61.graph	query_dense_16_61.cypher	16	120	11,12,2,4,5,7,8,9	0
query_dense_16_62.graph	query_dense_16_62.cypher	16	68	0,1,10,11,2,3,5,6,7,8,9	0
query_dense_16_63.graph	query_dense_16_63.cypher	16	26	1,10,12,13,14,2,5,6,7,8,9	0
query_dense_16_64.graph	query_dense_16_64.cypher	16	33	1,10,11,13,14,3,7,8,9	0
query_dense_16_65.graph	query_dense_16_65.cypher	16	28	0,1,10,11,13,14,2,3,5,6,8	0
query_dense_16_66.graph	query_dense_16_66.cypher	16	27	1,10,11,12,3,4,5,6,8,9	0
query_dense_16_67.graph	query_dense_16_67.cypher	16	45	1,11,12,14,2,3,6,7,8,9	0
query_dense_16_68.graph	query_dense_16_68.cypher	16	44	1,10,11,12,13,5,6,7,8	0
query_dense_16_69.graph	query_dense_16_69.cypher	16	27	0,1,10,13,14,3,4,8,9	0
query_dense_16_7.graph	query_dense_16_7.cypher	16	112	0,1,10,11,14,3,7,8,9	0
query_dense_16_70.graph	query_dense_16_70.cypher	16	42	0,10,11,12,13,14,2,3,4,5,7	0
query_dense_16_71.graph	query_dense_16_71.cypher	16	32	1,10,11,12,13,14,2,4,5,6,7,8,9	0
query_dense_16_72.graph	query_dense_16_72.cypher	16	67	0,10,11,12,2,3,5,7,8,9	0
query_dense_16_73.graph	query_dense_16_73.cypher	16	38	1,11,12,13,14,4,5,6,7,8,9	0
query_dense_16_74.graph	query_dense_16_74.cypher	16	41	0,1,10,13,14,4,5,6,9	0
query_dense_16_75.graph	query_dense_16_75.cypher	16	36	0,10,11,12,14,3,5,6,7,8	0
query_dense_16_76.graph	query_dense_16_76.cypher	16	27	0,10,11,12,13,3,4,6,9	0
query_dense_16_77.graph	query_dense_16_77.cypher	16	33	11,12,13,14,2,3,5,6,8	0
query_dense_16_78.graph	query_dense_16_78.cypher	16	31	0,10,11,12,14,4,7,8,9	0
query_dense_16_79.graph	query_dense_16_79.cypher	16	48	0,1,11,14,2,3,5,6,7,8,9	0
query_dense_16_8.graph	query_dense_16_8.cypher	16	46	1,10,11,13,2,4,5,8,9	0
query_dense_16_80.graph	query_dense_16_80.cypher	16	28	1,10,11,2,4,5,6,7,9	0
query_dense_16_81.graph	query_dense_16_81.cypher	16	45	0,1,11,13,14,4,5,6,8,9	0
query_dense_16_82.graph	query_dense_16_82.cypher	16	35	10,11,12,13,14,3,4,5,6,8	0
query_dense_16_83.graph	query_dense_16_83.cypher	16	27	0,1,10,12,14,2,3,6,7,8,9	0
query_dense_16_84.graph	query_dense_16_84.cypher	16	42	0,1,10,11,12,13,14,3,4,6,7,8	0
query_dense_16_85.graph	query_dense_16_85.cypher	16	64	0,11,12,13,2,4,5,7,8,9	0
query_dense_16_86.graph	query_dense_16_86.cypher	16	33	0,10,11,13,14,2,7,8,9	0
query_dense_16_87.graph	query_dense_16_87.cypher	16	41	0,1,10,11,12,13,14,4,9	0
query_dense_16_88.graph	query_dense_16_88.cypher	16	26	0,1,10,11,13,3,4,5,6	0
query_dense_16_89.graph	query_dense_16_89.cypher	16	33	0,1,12,14,2,4,5,6,7,9	0
query_dense_16_9.graph	query_dense_16_9.cypher	16	31	1,10,11,12,13,14,4,7,8,9	0
query_dense_16_90.graph	query_dense_16_90.cypher	16	34	1,11,12,13,4,6,8,9	0
query_dense_16_91.graph	query_dense_16_91.cypher	16	45	0,1,13,14,3,4,5,6,7,8,9	0
query_dense_16_92.graph	query_dense_16_92.cypher	16	30	0,10,11,13,2,3,4,5,7,8,9	0
query_dense_16_93.graph	query_dense_16_93.cypher	16	43	0,10,11,12,2,3,4,6,7,9	0
query_dense_16_94.graph	query_dense_16_94.cypher	16	41	0,10,11,12,14,3,5,7,8,9	0
query_dense_16_95.graph	query_dense_16_95.cypher	16	31	0,1,10,11,13,14,2,4,5,6,8	0
query_dense_16_96.graph	query_dense_16_96.cypher	16	27	0,1,10,12,14,2,3,4,6,7,8	0
query_dense_16_97.graph	query_dense_16_97.cypher	16	27	0,10,13,14,2,5,7,8,9	0
query_dense_16_98.graph	query_dense_16_98.cypher	16	29	0,1,10,11,12,13,14,2,5,7,8	0
query_dense_16_99.graph	query_dense_16_99.cypher	16	32	0,10,11,12,2,4,5,6,7	0
query_dense_24_1.graph	query_dense_24_1.cypher	24	41	0,1,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_24_10.graph	query_dense_24_10.cypher	24	40	1,10,12,13,4,5,6,7,8,9	0
query_dense_24_100.graph	query_dense_24_100.cypher	24	53	0,10,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_24_101.graph	query_dense_24_101.cypher	24	42	1,10,12,13,14,2,4,5,6,7,8	0
query_dense_24_102.graph	query_dense_24_102.cypher	24	63	0,1,10,12,13,14,3,4,6,7,8,9	0
query_dense_24_103.graph	query_dense_24_103.cypher	24	134	0,1,10,11,13,14,4,5,7,8,9	0
query_dense_24_104.graph	query_dense_24_104.cypher	24	45	1,10,11,12,13,14,2,3,4,5,6,8,9	0
query_dense_24_105.graph	query_dense_24_105.cypher	24	77	0,1,10,12,13,2,3,4,5,6,7,8,9	0
query_dense_24_106.graph	query_dense_24_106.cypher	24	44	0,1,10,11,12,14,2,3,5,6,7,8	0
query_dense_24_107.graph	query_dense_24_107.cypher	24	44	0,1,10,11,12,13,14,2,3,5,7,8,9	0
query_dense_24_108.graph	query_dense_24_108.cypher	24	43	0,10,11,12,14,4,6,7,8,9	0
query_dense_24_109.graph	query_dense_24_109.cypher	24	52	0,10,11,12,13,14,4,5,6,7,8,9	0
query_dense_24_11.graph	query_dense_24_11.cypher	24	42	1,10,11,12,13,14,2,3,4,5,7,8,9	0
query_dense_24_110.graph	query_dense_24_110.cypher	24	47	0,10,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_24_111.graph	query_dense_24_111.cypher	24	56	0,1,10,12,13,14,2,3,4,5,8,9	0
query_dense_24_112.graph	query_dense_24_112.cypher	24	68	0,1,12,13,14,3,4,5,7,8,9	0
query_dense_24_113.graph	query_dense_24_113.cypher	24	45	0,10,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_24_114.graph	query_dense_24_114.cypher	24	70	0,1,12,13,14,2,4,5,6,7,8,9	0
query_dense_24_115.graph	query_dense_24_115.cypher	24	44	0,1,10,11,12,13,14,2,3,4,7,8,9	0
query_dense_24_116.graph	query_dense_24_116.cypher	24	47	0,1,12,13,3,4,5,6,7,8,9	0
query_dense_24_117.graph	query_dense_24_117.cypher	24	58	0,1,10,12,13,2,3,4,5,6,7,9	0
query_dense_24_118.graph	query_dense_24_118.cypher	24	47	0,1,11,12,14,2,3,4,5,6,7,9	0
query_dense_24_119.graph	query_dense_24_119.cypher	24	58	0,10,11,12,13,2,3,4,5,6,8	0
query_dense_24_12.graph	query_dense_24_12.cypher	24	39	0,1,11,12,13,2,3,6,8,9	0
query_dense_24_120.graph	query_dense_24_120.cypher	24	41	1,11,12,13,14,2,4,5,6,8,9	0
query_dense_24_121.graph	query_dense_24_121.cypher	24	83	0,1,10,11,14,2,3,5,8,9	0
query_dense_24_122.graph	query_dense_24_122.cypher	24	111	0,1,10,12,13,2,3,4,5,6,7,8,9	0
query_dense_24_123.graph	query_dense_24_123.cypher	24	80	0,1,10,12,13,14,2,3,5,6,7,9	0
query_dense_24_124.graph	query_dense_24_124.cypher	24	53	0,10,11,12,13,2,3,4,5,6,8,9	0
query_dense_24_125.graph	query_dense_24_125.cypher	24	41	0,1,10,11,12,13,14,2,3,5,6,7,8,9	0
query_dense_24_126.graph	query_dense_24_126.cypher	24	40	1,10,11,12,13,14,2,3,5,6,7,8,9	0
query_dense_24_127.graph	query_dense_24_127.cypher	24	46	0,1,10,11,12,13,14,3,4,5,6,7,8,9	0
query_dense_24_128.graph	query_dense_24_128.cypher	24	78	0,1,11,13,14,2,3,4,7,8,9	0
query_dense_24_129.graph	query_dense_24_129.cypher	24	40	1,10,11,12,13,14,2,3,4,5,6	0
query_dense_24_13.graph	query_dense_24_13.cypher	24	78	0,1,10,11,12,13,14,2,4,6,7,9	0
query_dense_24_130.graph	query_dense_24_130.cypher	24	46	0,1,11,12,13,14,2,3,5,6,8	0
query_dense_24_131.graph	query_dense_24_131.cypher	24	41	0,1,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_24_132.graph	query_dense_24_132.cypher	24	46	0,1,10,11,12,13,14,2,3,4,5,6,7,8	0
query_dense_24_133.graph	query_dense_24_133.cypher	24	49	0,1,11,12,13,14,2,3,4,6,7,8,9	0
query_dense_24_134.graph	query_dense_24_134.cypher	24	58	0,1,10,11,12,14,2,3,4,5,6,8,9	0
query_dense_24_135.graph	query_dense_24_135.cypher	24	55	0,1,10,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_24_136.graph	query_dense_24_136.cypher	24	82	0,1,11,12,13,14,2,4,5,6,7,8	0
query_dense_24_137.graph	query_dense_24_137.cypher	24	51	0,1,10,11,12,2,3,4,7,8,9	0
query_dense_24_138.graph	query_dense_24_138.cypher	24	64	0,10,11,12,13,14,2,3,4,5,6,7,9	0
query_dense_24_139.graph	query_dense_24_139.cypher	24	40	0,1,11,12,13,14,2,3,4,5,7,8,9	0
query_dense_24_14.graph	query_dense_24_14.cypher	24	49	0,1,10,12,13,2,3,4,5,6,7,8,9	0
query_dense_24_140.graph	query_dense_24_140.cypher	24	45	0,10,12,13,14,2,3,4,5,6,7,9	0
query_dense_24_141.graph	query_dense_24_141.cypher	24	276	1,10,11,12,13,14,2,3,4,5,6,7,9	0
query_dense_24_142.graph	query_dense_24_142.cypher	24	39	1,10,11,12,14,2,3,4,6,7,8,9	0
query_dense_24_143.graph	query_dense_24_143.cypher	24	68	0,1,11,13,14,2,3,4,5,7,8,9	0
query_dense_24_144.graph	query_dense_24_144.cypher	24	146	0,1,10,12,13,14,2,4,5,6,7	0
query_dense_24_145.graph	query_dense_24_145.cypher	24	41	0,1,10,11,13,2,4,5,6,7,8,9	0
query_dense_24_146.graph	query_dense_24_146.cypher	24	64	1,10,13,2,3,4,5,6,7,8,9	0
query_dense_24_147.graph	query_dense_24_147.cypher	24	46	0,1,10,11,12,13,14,4,5,6,7,8,9	0
query_dense_24_148.graph	query_dense_24_148.cypher	24	51	0,1,10,11,12,14,2,3,4,5,6,7,8,9	0
query_dense_24_149.graph	query_dense_24_149.cypher	24	214	0,10,11,13,14,2,3,4,5,7,8,9	0
query_dense_24_15.graph	query_dense_24_15.cypher	24	49	0,1,11,12,13,2,3,4,5,6,8,9	0
query_dense_24_150.graph	query_dense_24_150.cypher	24	64	0,10,13,14,2,3,4,5,6,8,9	0
query_dense_24_151.graph	query_dense_24_151.cypher	24	65	0,10,11,12,13,14,2,3,5,6,7,8	0
query_dense_24_152.graph	query_dense_24_152.cypher	24	44	0,1,10,12,13,14,2,3,4,6,7,8,9	0
query_dense_24_153.graph	query_dense_24_153.cypher	24	39	0,1,10,11,13,14,2,3,4,5,6,7,8,9	0
query_dense_24_154.graph	query_dense_24_154.cypher	24	160	1,10,11,12,3,4,5,7,8,9	0
query_dense_24_155.graph	query_dense_24_155.cypher	24	64	0,1,10,11,12,2,5,6,9	0
query_dense_24_156.graph	query_dense_24_156.cypher	24	48	0,1,10,11,12,13,14,2,3,4,5,6,8	0
query_dense_24_157.graph	query_dense_24_157.cypher	24	80	0,1,11,12,14,2,3,5,6,7,8,9	0
query_dense_24_158.graph	query_dense_24_158.cypher	24	46	1,10,11,12,13,14,3,4,5,7,8	0
query_dense_24_159.graph	query_dense_24_159.cypher	24	43	1,10,11,12,13,14,2,3,4,5,7,8,9	0
query_dense_24_16.graph	query_dense_24_16.cypher	24	44	0,1,10,11,12,13,14,2,3,4,5,6,7,8,9	0
